car_model_id,ownerId,dailyPrice,licensePlate,status,yearOfManufacture,chassisNumber,engineNumber,insuranceReference,coeReference,primaryColour,secondaryColour,passengerCapacity,engineCapacityCc,maxUnladenWeightKg,maxLadenWeightKg,currentLocation,availableFrom,availableUntil,maintenanceNote,expectedReturnDate
1,101,575.5,SND1234A,AVAILABLE,2024,CHASSIS_MAS789,ENG_MAS789,POL_MAS789,COE_MAS789,Blue,Silver,5,2979,1870,2400,Changi Airport T3,,,,
2,102,110,SNC5678B,AVAILABLE,2024,CHASSIS_SKO789,ENG_SKO789,POL_SKO789,COE_SKO789,Red,Black,5,1498,1350,1900,Jurong East,,,,
3,103,65.75,SNB9012C,BOOKED,2023,CHASSIS_NIS789,ENG_NIS789,POL_NIS789,COE_NIS789,Orange,Black,5,1598,1250,1750,Tampines Hub,2025-10-01T10:00:00,2025-10-08T10:00:00,,
4,101,460.25,SNA3456D,AVAILABLE,2024,CHASSIS_BMWZ4789,ENG_BMWZ4789,POL_BMWZ4789,COE_BMWZ4789,Blue,Black,2,1998,1495,1700,Orchard Road,,,,
5,102,475,SML7890E,UNDER_MAINTENANCE,2024,CHASSIS_BMWX3789,ENG_BMWX3789,POL_BMWX3789,COE_BMWX3789,Blue,Silver,5,1998,1810,2400,Woodlands Service Center,,,Scheduled maintenance,2025-10-10T17:00:00
6,101,515.5,SMK1234F,AVAILABLE,2024,CHASSIS_BMW5T789,ENG_BMW5T789,POL_BMW5T789,COE_BMW5T789,Blue,None,5,1998,1760,2400,Marina Bay Sands,,,,
7,101,360,SMJ5678G,AVAILABLE,2024,CHASSIS_BMWM240789,ENG_BMWM240789,POL_BMWM240789,COE_BMWM240789,Blue,Black,4,2998,1690,2100,Sentosa Gateway,,,,
8,102,480.75,SMH9012H,BOOKED,2024,CHASSIS_BMWM440789,ENG_BMWM440789,POL_BMWM440789,COE_BMWM440789,Blue,Carbon Fiber,4,2998,1815,2200,Changi Jewel,2025-10-05T14:00:00,2025-10-12T14:00:00,,
9,103,495.25,SMG3456I,AVAILABLE,2025,CHASSIS_POR911789,ENG_POR911789,POL_POR911789,COE_POR911789,Blue,None,2,2981,1505,1900,Dempsey Hill,,,,
10,101,620,SMF7890J,AVAILABLE,2024,CHASSIS_AMGSL63789,ENG_AMGSL63789,POL_AMGSL63789,COE_AMGSL63789,Silver,Black,2,3982,1970,2300,Fullerton Hotel,,,,
11,102,540.5,SME1234K,AVAILABLE,2023,CHASSIS_MERV789,ENG_MERV789,POL_MERV789,COE_MERV789,Blue,Chrome,7,1950,2370,3100,Paya Lebar Quarter,,,,
12,103,165,SMD5678L,AVAILABLE,2023,CHASSIS_PEU5008789,ENG_PEU5008789,POL_PEU5008789,COE_PEU5008789,Blue,White,5,1199,1430,2100,VivoCity,,,,
13,101,260.25,SMC9012M,AVAILABLE,2024,CHASSIS_TOYALP789,ENG_TOYALP789,POL_TOYALP789,COE_TOYALP789,Black,Chrome,7,2494,2135,2700,Resorts World Sentosa,,,,
14,102,105.75,SMB3456N,AVAILABLE,2024,CHASSIS_TOYPRI789,ENG_TOYPRI789,POL_TOYPRI789,COE_TOYPRI789,White,Black,5,1987,1420,1900,Singapore Science Park,,,,
15,103,170,SMA7890P,AVAILABLE,2023,CHASSIS_VWGOLF789,ENG_VWGOLF789,POL_VWGOLF789,COE_VWGOLF789,Grey,None,5,1498,1370,1900,Suntec City,,,,
16,101,155.5,SNN1234Q,BOOKED,2023,CHASSIS_VWPOLO789,ENG_VWPOLO789,POL_VWPOLO789,COE_VWPOLO789,Blue,Black,5,999,1130,1600,Bugis Junction,2025-09-28T09:00:00,2025-10-05T09:00:00,,
17,102,255,SNM5678R,AVAILABLE,2023,CHASSIS_MINIC789,ENG_MINIC789,POL_MINIC789,COE_MINIC789,Grey,White,5,1499,1365,1800,Holland Village,,,,
18,103,670.25,SNL9012S,AVAILABLE,2024,CHASSIS_LRR789,ENG_LRR789,POL_LRR789,COE_LRR789,Black,Silver,5,2997,2454,3200,CapitaSpring,,,,
1,102,580,SNK3456T,AVAILABLE,2024,CHASSIS_MAS790,ENG_MAS790,POL_MAS790,COE_MAS790,Black,Red,5,2979,1870,2400,Changi Airport T1,,,,
2,101,115.5,SNJ7891U,UNDER_MAINTENANCE,2024,CHASSIS_SKO790,ENG_SKO790,POL_SKO790,COE_SKO790,Silver,Black,5,1498,1350,1900,Defu Lane Service Center,,,Tire replacement,2025-10-06T12:00:00
3,103,70,SNH2345V,AVAILABLE,2023,CHASSIS_NIS790,ENG_NIS790,POL_NIS790,COE_NIS790,White,None,5,1598,1250,1750,Our Tampines Hub,,,,
4,101,465,SNG6789W,AVAILABLE,2024,CHASSIS_BMWZ4790,ENG_BMWZ4790,POL_BMWZ4790,COE_BMWZ4790,Red,Black,2,1998,1495,1700,Clarke Quay,,,,
5,102,480,SNF0123X,AVAILABLE,2024,CHASSIS_BMWX3790,ENG_BMWX3790,POL_BMWX3790,COE_BMWX3790,White,Black,5,1998,1810,2400, Dempsey Hill,,,,
13,101,265,SND4567Z,AVAILABLE,2024,CHASSIS_TOYALP790,ENG_TOYALP790,POL_TOYALP790,COE_TOYALP790,White,Chrome,7,2494,2135,2700,Jewel Changi,,,,
13,102,270,SNC8901A,AVAILABLE,2024,CHASSIS_TOYALP791,ENG_TOYALP791,POL_TOYALP791,COE_TOYALP791,Black,None,7,2494,2135,2700,Raffles City,,,,
13,103,258.5,SNB2345B,BOOKED,2024,CHASSIS_TOYALP792,ENG_TOYALP792,POL_TOYALP792,COE_TOYALP792,Silver,Black,7,2494,2135,2700,Parkway Parade,2025-10-04T18:00:00,2025-10-09T18:00:00,,
14,101,102,SNA6789C,AVAILABLE,2024,CHASSIS_TOYPRI790,ENG_TOYPRI790,POL_TOYPRI790,COE_TOYPRI790,Blue,Black,5,1987,1420,1900,one-north,,,,
14,102,108,SML0123D,AVAILABLE,2024,CHASSIS_TOYPRI791,ENG_TOYPRI791,POL_TOYPRI791,COE_TOYPRI791,Red,None,5,1987,1420,1900,Fusionopolis,,,,
15,101,175,SMK4567E,AVAILABLE,2023,CHASSIS_VWGOLF790,ENG_VWGOLF790,POL_VWGOLF790,COE_VWGOLF790,White,Black,5,1498,1370,1900,Plaza Singapura,,,,
15,102,172.5,SMJ8901F,UNDER_MAINTENANCE,2023,CHASSIS_VWGOLF791,ENG_VWGOLF791,POL_VWGOLF791,COE_VWGOLF791,Black,None,5,1498,1370,1900,Kaki Bukit Service Center,,,Brake inspection,2025-10-07T09:00:00
16,103,158,SMH2345G,AVAILABLE,2023,CHASSIS_VWPOLO790,ENG_VWPOLO790,POL_VWPOLO790,COE_VWPOLO790,Red,None,5,999,1130,1600,ION Orchard,,,,
1,103,560,SMG6789H,AVAILABLE,2024,CHASSIS_MAS791,ENG_MAS791,POL_MAS791,COE_MAS791,White,Black,5,2979,1870,2400,Mandarin Oriental Hotel,,,,
2,101,112,SMF0123I,AVAILABLE,2024,CHASSIS_SKO791,ENG_SKO791,POL_SKO791,COE_SKO791,Black,None,5,1498,1350,1900,Tanjong Pagar,,,,
9,102,505,SME4567J,AVAILABLE,2025,CHASSIS_POR911790,ENG_POR911790,POL_POR911790,COE_POR911790,Yellow,Black,2,2981,1505,1900,Capella Hotel,,,,
10,103,630,SMD8901K,BOOKED,2024,CHASSIS_AMGSL63790,ENG_AMGSL63790,POL_AMGSL63790,COE_AMGSL63790,Matte Grey,None,2,3982,1970,2300,W Hotel Sentosa,2025-10-02T12:00:00,2025-10-07T12:00:00,,
18,101,680,SMC2345L,AVAILABLE,2024,CHASSIS_LRR790,ENG_LRR790,POL_LRR790,COE_LRR790,Green,White,5,2997,2454,3200,Goodwood Park Hotel,,,,
18,102,675.5,SMB6789M,AVAILABLE,2024,CHASSIS_LRR791,ENG_LRR791,POL_LRR791,COE_LRR791,Silver,Black,5,2997,2454,3200,Shangri-La Hotel,,,,
5,103,470,SMA0123N,AVAILABLE,2024,CHASSIS_BMWX3791,ENG_BMWX3791,POL_BMWX3791,COE_BMWX3791,Black,Chrome,5,1998,1810,2400,IKEA Alexandra,,,,
6,101,520,SNN4567P,AVAILABLE,2024,CHASSIS_BMW5T790,ENG_BMW5T790,POL_BMW5T790,COE_BMW5T790,Grey,None,5,1998,1760,2400,IMM Jurong,,,,
13,101,262.5,SNM8901Q,AVAILABLE,2024,CHASSIS_TOYALP793,ENG_TOYALP793,POL_TOYALP793,COE_TOYALP793,Pearl White,None,7,2494,2135,2700,Changi City Point,,,,
13,101,263,SNL2345R,AVAILABLE,2024,CHASSIS_TOYALP794,ENG_TOYALP794,POL_TOYALP794,COE_TOYALP794,Black,Silver,7,2494,2135,2700,Changi Business Park,,,,
3,101,68,SNK6789S,AVAILABLE,2023,CHASSIS_NIS791,ENG_NIS791,POL_NIS791,COE_NIS791,Silver,None,5,1598,1250,1750,Tampines Mall,,,,
3,102,69.5,SNJ0123T,AVAILABLE,2023,CHASSIS_NIS792,ENG_NIS792,POL_NIS792,COE_NIS792,Blue,None,5,1598,1250,1750,Bedok Mall,,,,
17,103,250,SNH4567U,BOOKED,2023,CHASSIS_MINIC790,ENG_MINIC790,POL_MINIC790,COE_MINIC790,Green,White,5,1499,1365,1800,Dempsey Cookhouse,2025-10-06T19:00:00,2025-10-06T23:00:00,,
17,101,258,SNG8901V,AVAILABLE,2023,CHASSIS_MINIC791,ENG_MINIC791,POL_MINIC791,COE_MINIC791,Red,Black,5,1499,1365,1800,PS.Cafe Harding Road,,,,
11,103,535,SNF2345W,,,,,,,,,,,,,,,,,
